item_num,item,qoh,owed
,,,
03515,marlboro gold,0,40
08306,marlbor 72 silver,0,10
09250,marlb spec sel red 100,0,2
08968,marlb spec sel red,0,7
06224,marlbo no 27,0,6
03474,Winston gold 100,0,3
08969,Marlb spec sel gold,0,3
13995,american spirit yellow,0,3
13996,american spirit gold,0,3
14465,crown gold 100,0,16
14348,crown red 100,0,20
03517,marlbo light 100,0,10
08398,maverick menthol,0,5
09593,maverick menthol 100,0,8
02173,camel crush,0,14
14935,crown menthol 100,0,5
15530,crown menthol lite 100,0,12
08488,maverick gold,0,10
08969,marlb spec sel gold,0,3
03804,marlb silver,0,7
03946,marlb menthol,0,8
