Item #,Description,Bottle Size,Vintage,Vendor,Case Size,Pack Qty,Unit Price,Pack Price,Case Price,Current Inventory On Hand,Item Unit Cost,Item Case Cost,UPC data
3543,$0.99  MISC BEER SINGLE,12OZ,,GAFY,1,1,0.99,0,0,-22,0.99,0.99,35430
14042,$1.19 SINGLE BEER,12OZ,,GAFY,1,1,1.19,0,0,-12,0.99,0.99,140421
6019,$1.29 SINGLE BEER/BOTTLE,EACH,,,1,1,1.29,0,0,-24,1.03,1.03,60196
3544,$1.49 MISC BEER SINGLE,12OZ,,GAFY,1,1,1.49,0,0,0,1.49,1.49,35440
6252,$1.79 SINGLE BEER/BOTTLE,EACH,,,1,1,1.79,0,0,0,1.49,1.49,62523
3545,$1.99 MISC BEER SINGLE,12OZ,,GAFY,1,1,1.99,0,0,0,1.99,1.99,35453
14285,$2.49 MISC BEER SINGLE,12OZ,,GAFY,1,1,2.49,0,0,0,2.39,2.39,142854
14409,$2.79 MISC BEER SINGLE,12OZ,,GAFY,1,1,2.79,0,0,0,2.49,2.49,144094
14410,$4.99 MISC BEER SINGLE,12OZ,,GAFY,1,1,4.99,0,0,-1,2.49,2.49,144108
15148,1.00  MISC BEER SINGLE,12OZ,,GAFY,1,1,1,0,0,0,0.99,0.99,
12935,100 PIPERS SCOTCH,1.75L,,FLAL,6,1,20.29,0,0,0,16.3517,98.11,96749800858
10594,14 HANDS CABERNET SAUVIGNON,750ML,,ABAB,12,1,13.99,0,0,30,7.3333,88,88586001895
10594,14 HANDS CABERNET SAUVIGNON,750ML,,ABAB,12,1,13.99,0,0,30,7.3333,88,88586001895
10594,14 HANDS CABERNET SAUVIGNON,750ML,,ABAB,12,1,13.99,0,0,30,9.33,111.96,88586001895
11070,14 HANDS CHARDONNAY,750ML,,ABAB,12,1,13.99,0,0,4,9.33,111.96,88586001765
11171,14 HANDS HOT TO TROT RED BLAND,750ML,,ABAB,12,1,13.99,0,0,9,8,96,88586004483
9075,14 HANDS MERLOT,750ML,,ABAB,12,1,13.99,0,0,20,7.3333,88,88586001772
9075,14 HANDS MERLOT,750ML,,ABAB,12,1,13.99,0,0,20,7.3333,88,88586001772
11244,14 HANDS PINOT GRIGIO,750ML,,ABAB,12,1,13.99,0,0,9,8,96,88586005725
11245,14 HANDS RUN WILD RED BLEND,750ML,,ABAB,12,1,13.99,0,0,15,8,96,88586009198
11245,14 HANDS RUN WILD RED BLEND,750ML,,ABAB,12,1,13.99,0,0,15,8,96,88586007682
11245,14 HANDS RUN WILD RED BLEND,750ML,,ABAB,12,1,13.99,0,0,15,9.33,111.96,88586007682
11245,14 HANDS RUN WILD RED BLEND,750ML,,ABAB,12,1,13.99,0,0,15,9.33,111.96,88586009198
14274,1792 AGED 12 YEARS BOURBON,750ML,,GAFY,6,1,174.99,0,0,2,43.39,260.34,88004030711
14275,1792 FULL PROOF BOURBON,750ML,,GAFY,6,1,74.99,0,0,5,36.1467,216.88,80660001159
15946,1792 RIDGEMOUNT BOURBON BOTTLED IN BOND,750ML,,FYFY,6,1,59.99,0,0,6,32.79,196.74,
14755,1792 RIDGEMOUNT BOURBON SINGLE BARREL,750ML,,FYFY,6,1,99.99,0,0,11,33.2867,199.72,80660001142
14755,1792 RIDGEMOUNT BOURBON SINGLE BARREL,750ML,,FYFY,6,1,99.99,0,0,11,34.28,205.68,80660001142
14263,1792 RIDGEMOUNT BOURBON SMALL BATCH,750ML,,,6,1,39.99,0,0,7,26.89,161.34,80660001203
14263,1792 RIDGEMOUNT BOURBON SMALL BATCH,750ML,,,6,1,39.99,0,0,7,26.89,161.34,80660001203
14272,1792 SWEET WHEAT BOURBON,750ML,,GAFY,6,1,99.99,0,0,2,32.99,197.94,80660001166
10553,1800 TEQUILA ANEJO,750ML,,JJJA,6,1,44.99,0,0,5,35.1917,211.15,811538010030
3942,1800 TEQUILA ANEJO CRISTALINO,1.75L,,AL,6,1,129.99,0,0,0,90,540,818844020869
3941,1800 TEQUILA ANEJO CRISTALINO,750ML,,AL,6,1,69.99,0,0,1,48.74,292.44,818844027202
3941,1800 TEQUILA ANEJO CRISTALINO,750ML,,AL,6,1,69.99,0,0,1,48.74,292.44,811538016469
6937,1800 TEQUILA BLANCO,750ML,,JJJA,12,1,33.99,0,0,9,28.3,339.6,818844021644
13359,1800 TEQUILA BLANCO,1L,,AL,6,1,36.99,0,0,19,28.4917,170.95,811538010146
13359,1800 TEQUILA BLANCO,1L,,AL,6,1,36.99,0,0,19,28.4917,170.95,811538010146
6937,1800 TEQUILA BLANCO,750ML,,JJJA,12,1,33.99,0,0,9,28.3,339.6,811538010139
6938,1800 TEQUILA BLANCO,375ML,,AL,12,1,15.09,0,0,25,10.1192,121.43,811538010122
10610,1800 TEQUILA BLANCO,1.75L,,JJJA,6,1,55.99,0,0,8,45.4917,272.95,811538010153
10610,1800 TEQUILA BLANCO,1.75L,,JJJA,6,1,55.99,0,0,8,45.4917,272.95,811538010153
6937,1800 TEQUILA BLANCO,750ML,,JJJA,12,1,33.99,0,0,9,28.3,339.6,721059227537
6937,1800 TEQUILA BLANCO,750ML,,JJJA,12,1,33.99,0,0,9,28.3,339.6,811538017640
4364,1800 TEQUILA BLANCO,200ML,,ALAL,24,1,11.29,0,0,8,7.18,172.32,811538010191
6938,1800 TEQUILA BLANCO,375ML,,AL,12,1,15.09,0,0,25,10.1192,121.43,721059223737
6938,1800 TEQUILA BLANCO,375ML,,AL,12,1,15.09,0,0,25,9.99,119.88,721059223737
6937,1800 TEQUILA BLANCO,750ML,,JJJA,12,1,33.99,0,0,9,28.3,339.6,811538016629
6938,1800 TEQUILA BLANCO,375ML,,AL,12,1,15.09,0,0,25,10.1192,121.43,721059223737
6938,1800 TEQUILA BLANCO,375ML,,AL,12,1,15.09,0,0,25,10.1192,121.43,811538010122
6938,1800 TEQUILA BLANCO,375ML,,AL,12,1,15.09,0,0,25,9.99,119.88,811538010122
15516,1800 TEQUILA BLANCO 100PROOF,375ML,,AL,12,1,19.99,0,0,2,13.9933,167.92,818844028537
10596,1800 TEQUILA COCONUT,1.75L,,JJJA,6,1,55.99,0,0,2,45.4917,272.95,811538010405
5882,1800 TEQUILA COCONUT,375ML,,ALAL,12,1,14.29,0,0,13,9.99,119.88,811538010368
14338,1800 TEQUILA COCONUT,1L,,JJJA,6,1,36.99,0,0,8,28.4917,170.95,811538010382
4099,1800 TEQUILA COCONUT,750ML,,JJJA,12,1,35.99,0,0,10,28.3,339.6,811538010375
14338,1800 TEQUILA COCONUT,1L,,JJJA,6,1,36.99,0,0,8,28.4917,170.95,811538010382
6952,1800 TEQUILA REPOSADO,750ML,,AL,12,1,36.99,0,0,10,30.8292,369.95,811538010238
10602,1800 TEQUILA REPOSADO,1.75L,,JJJA,6,1,59.99,0,0,7,48.6833,292.1,811538010252
10602,1800 TEQUILA REPOSADO,1.75L,,JJJA,6,1,59.99,0,0,7,48.6833,292.1,811538010252
3893,1800 TEQUILA REPOSADO,1L,,AL,6,1,38.99,0,0,5,29.9917,179.95,811538010245
6952,1800 TEQUILA REPOSADO,750ML,,AL,12,1,36.99,0,0,10,30.8292,369.95,818844022627
